06026400;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/8065-mary-jane-shoes/c/06026400;8065 Mary Jane | Dr. Martens Official;"
                    Our 8065 Mary Jane shoes subvert the tradition of impractical women's shoes. Made from tough DMs leathers and built on our renowned AirWair sole, they're built with Docs-level durability and a hardy Goodyear welt. Here you'll find a range of designs for adults and children, including our Original 8065 in Smooth leather. ";8065 Mary Jane Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/shoes/c/06020000;Home,ORIGINALS BOOTS AND SHOES,SHOES
06026700;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/8053-shoes/c/06026700;8053 (5 Eye Shoes) | Dr. Martens Official;"
                    The 8053 is one of our Original designs: a toned-down casual shoe with 5 eyelets, welt stitching and a rugged AirWair sole. ";8053 Casual Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/shoes/c/06020000;Home,ORIGINALS BOOTS AND SHOES,SHOES
06026500;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/adrian-tassel-loafers/c/06026500;Adrian Tassel Loafers | Dr. Martens Official;"
                    Inspired by the subcultures that adopted us, the Adrian tassel loafer rolled off the production line in the 1970s — fusing Mod-like smartness with DMs-level durability. These days our range of Adrian tassel loafers includes a variety of leathers and vegan alternatives while staying true to the iconic silhouette. ";Adrian Tassel Loafer Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/shoes/c/06020000;Home,ORIGINALS BOOTS AND SHOES,SHOES
06026600;https://www.drmartens.com/us/en/originals-boots-and-shoes/shoes/polley-t-bar-mary-jane-shoes/c/06026600;Polley T-Bar | Dr. Martens Official;"
                    Grunge gigs. Paris runways. Harajuku streets. Polley is the tough-as-nails Mary Jane shoe that took us around the world. The buckle shoe was one of the first we produced for women, and the attitude and empowering silhouette lives on to this day. ";Polley T-Bar Mary Jane Shoes;/us/en/,/us/en/originals-boots-and-shoes/c/06000000,/us/en/originals-boots-and-shoes/shoes/c/06020000;Home,ORIGINALS BOOTS AND SHOES,SHOES
01070000;https://www.drmartens.com/us/en/womens/originals/c/01070000;Women's Originals Boots & Shoes | Original Boots & Shoes | Dr. Martens Official;"
                    Crafted for industry, made rebellious by generations of non-conformists. Our Original icons are instantly recognizable. And the only difference here? A narrower cut for women. ";Women's Originals Boots & Shoes;/us/en/,/us/en/womens/c/01000000;Home,WOMENS
02070000;https://www.drmartens.com/us/en/mens/originals/c/02070000;Men's Originals Boots & Shoes | Original Boots & Shoes | Dr. Martens Official;"
                    Designed for industry. Championed through music. Our Originals boots were first built decades ago and have become iconic through our many wearers. Renowned for their durability, the collection includes men's boots, shoes and loafers which stay true to our heritage and DNA. ";Men's Originals;/us/en/,/us/en/mens/c/02000000;Home,MENS
06000000;https://www.drmartens.com/us/en/originals-boots-and-shoes/c/06000000;Original Boots & Shoes | Dr. Martens Official;"
                    Designed for industry. Championed through music. Our Originals were first built decades ago and have become iconic through our many wearers. Renowned for their durability, the collection includes men's boots, shoes and loafers which stay true to our heritage and DNA. ";Originals Boots & Shoes;/us/en/;Home
originals-boots-and-shoes;https://www.drmartens.com/us/en/originals-boots-and-shoes;Originals | Dr. Martens Official;;;/us/en/;"
                            Home"
05840000;https://www.drmartens.com/us/en/work/work-boots/c/05840000;Work Boots | Dr. Martens Official;"
                    Dr. Martens shoes have been the choice of workers since 1960. Our collection of work and safety boots are engineered for the most demanding work environments and include a diverse range of designs. ";Work Boots;/us/en/,/us/en/work/c/05000000;Home,WORK
05000000;https://www.drmartens.com/us/en/work/c/05000000;Work Boots & Shoes | Dr. Martens Official;"
                    Dr. Martens shoes have been the choice of workers since 1960. Our collection of work and safety boots are engineered for the most demanding work environments and include a diverse range of designs. ";Work Boots & Shoes;/us/en/;Home
